x,y,crash,Restaurants,ATMs,Bars,Bus Stops,Convenience Stores,Department Stores,Greengroceries,Hotels,Market Places,Metro Stations,School,Temples,Household,Intersections,Road length
121.5257,25.09757,772,11,0,0,1,2,0,0,0,0,0,0,0,564,223,7439.837988
121.58498,25.083265,301,6,1,0,0,4,0,0,0,0,0,1,0,564,221,8844.827438
121.494329,25.130814,820,24,1,0,0,2,0,0,0,0,0,2,0,335,221,10287.03022
121.549767,24.997582,260,21,0,0,0,4,0,0,0,0,0,1,0,473,221,7299.129337
121.506975,25.092342,755,17,0,0,0,3,0,0,0,0,0,0,2,459,221,7517.229016
121.555935,25.043131,1451,37,2,5,0,7,0,0,0,1,1,0,0,434,220,9684.332808
121.524115,25.102533,633,46,1,0,0,2,0,0,0,1,1,0,0,424,220,6222.902958
121.597109,25.081385,1223,15,0,0,0,5,0,0,0,0,0,1,0,440,220,8824.716717
121.575773,25.081548,295,15,0,1,0,5,0,1,0,1,1,1,0,322,219,4696.451559
121.519206,25.115821,666,3,0,0,0,4,0,3,0,1,1,0,0,600,218,7817.775623
121.494993,25.030487,603,36,0,0,0,4,0,0,0,0,0,0,1,502,218,6914.590831
121.547405,25.035544,896,28,0,0,0,2,0,0,0,0,0,0,0,590,218,6925.373262
121.527544,25.039247,716,20,0,0,0,3,0,0,0,0,0,0,0,556,217,7521.219634
121.518598,25.112435,792,3,1,0,0,3,0,0,0,1,1,0,0,539,215,6434.974921
121.519306,25.05517,443,31,0,2,0,2,0,0,0,0,0,0,0,325,213,4875.122657
121.575319,25.050778,1083,36,3,1,0,5,0,0,0,1,1,1,1,414,211,12233.01033
121.502453,25.034516,2408,9,1,0,0,6,0,0,0,0,0,1,2,360,211,7032.578891
121.603645,25.07459,846,4,1,0,0,4,0,0,0,1,1,1,0,309,211,11448.46093
121.566544,25.028857,665,15,1,0,0,7,0,0,0,0,0,2,0,800,209,7492.800583
121.543044,24.995115,1057,39,0,1,1,7,0,1,0,0,0,2,0,487,209,6883.889623
121.567121,25.040959,102,75,1,2,2,9,1,0,2,1,1,0,0,599,208,11278.13965
121.614153,25.066301,2633,13,0,0,1,4,0,1,0,1,1,0,0,402,208,17520.01612
121.525175,25.056453,1399,33,1,1,4,13,0,0,0,0,0,0,11,498,208,8537.093865
121.491962,25.019003,1370,6,0,0,0,0,0,1,0,0,0,0,0,315,208,7179.596347
121.565892,25.092122,599,11,0,0,0,7,0,0,0,0,0,0,0,425,207,12609.76162
