no,luas_bangunan,luas_tanah,kamar_tidur,kamar_mandi,lantai,lokasi,price,title
102,160.0,118.0,4.0,3.0,2.0,Sleman Kab.,1780000000,Rumah Baru di Maguwoharjo Dalam Ring Road Dekat Kampus UPN - Dijual: Rumah & Apartemen - 916609420
103,70.0,85.0,3.0,2.0,1.0,Yogyakarta Kota,890000000,Perumahan 2 Lantai Murah di Jalan Pleret Banguntapan 15Mnt ke Giwangan - Dijual: Rumah & Apartemen - 919657409
105,140.0,120.0,3.0,3.0,2.0,Yogyakarta Kota,1850000000,Rumah modern 2lt daerah Taman Siswa Tengah kota jogja - Dijual: Rumah & Apartemen - 921772065
107,135.0,200.0,4.0,3.0,1.0,Sleman Kab.,1650000000,"Rumah Mewah Tajem Maguwo, Dekat Lotte Mart Jogja - Dijual: Rumah & Apartemen - 919666267"
108,500.0,400.0,9.0,6.0,1.0,Yogyakarta Kota,7000000000,Dijual cepat Rumah mewah luxury luas di pusat kota jogja - Dijual: Rumah & Apartemen - 915045338
109,500.0,364.0,8.0,5.0,1.0,Sleman Kab.,8499000000,"Rumah Klasik Strategis Kawasan Elite Demangan Baru Dekat UGM, AMPLAZ - Dijual: Rumah & Apartemen - 920369219"
111,154.0,132.0,4.0,2.0,2.0,Yogyakarta Kota,1500000000,Di Jual Rumah Tinggal - Dijual: Rumah & Apartemen - 921491250
113,700.0,800.0,6.0,6.0,1.0,Sleman Kab.,15000000000,Rumah Mewah Super Istimewa dekat banyak kampus & hotel di Seturan - Dijual: Rumah & Apartemen - 915186024
114,300.0,535.0,3.0,3.0,1.0,Yogyakarta Kota,2700000000,Rumah Homestay Minimalis Tanah Luas dekat Malioboro dan kraton Jogja - Dijual: Rumah & Apartemen - 915186231
115,208.0,230.0,5.0,4.0,1.0,Sleman Kab.,4200000000,Dijual cepat Rumah mewah Luxury dalam PERUMAHAN ELITE VASANA RESIDENCE - Dijual: Rumah & Apartemen - 915045123
116,350.0,722.0,4.0,3.0,1.0,Yogyakarta Kota,6500000000,Dijual rumah kolonial Belanda murah pinggir jalan utama kota Jogja - Dijual: Rumah & Apartemen - 915449899
119,200.0,286.0,4.0,4.0,1.0,Yogyakarta Kota,6500000000,Rumah Baru Mewah Kolam Renang Tengah Kota Kawasan Komplek Elite Baciro - Dijual: Rumah & Apartemen - 915596150
122,100.0,139.0,3.0,3.0,2.0,Sleman Kab.,2100000000,Rumah Mewah Minimalis Modern Dekat UGM - Dijual: Rumah & Apartemen - 921766080
123,114.0,148.0,3.0,2.0,1.0,Yogyakarta Kota,1000000000,Rumah Dijual Dkt RS Wirosaban Kota Jogja.STRATEGIS KOTA MURAH - Dijual: Rumah & Apartemen - 921765669
125,22.0,400.0,1.0,1.0,7.0,Sleman Kab.,425000000,Dijual apartment dekat kampus type studio Student Castle - Dijual: Rumah & Apartemen - 917077909
126,131.0,178.0,3.0,3.0,1.0,Sleman Kab.,1350000000,Rumah Tanah Luas Siap Huni Maguwo Sleman - Dijual: Rumah & Apartemen - 921422879
128,260.0,200.0,6.0,5.0,2.0,Yogyakarta Kota,4200000000,"Perumahan Bale Mulia Jl Magelang Dekat Al-Azhar, UTY, UGM - Dijual: Rumah & Apartemen - 921764879"
129,350.0,252.0,7.0,4.0,2.0,Yogyakarta Kota,4800000000,"Rumah Bale Mulia Dekat Jl Magelang Km 6, UGM, UTY, JCM - Dijual: Rumah & Apartemen - 921764791"
130,100.0,139.0,3.0,3.0,1.0,Sleman Kab.,2100000000,"Rumah Mewah Kontemporer dekat UGM, Al azhar di Jalan Kaliurang KM 7 - Dijual: Rumah & Apartemen - 921764784"
131,103.0,125.0,3.0,3.0,1.0,Sleman Kab.,1700000000,"Dijual Rumah Baru Full Furnished di Sleman, Dekat Stadiun Maguwoharjo - Dijual: Rumah & Apartemen - 921763747"
133,100.0,102.0,2.0,2.0,1.0,Yogyakarta Kota,750000000,Rumah Murah Area Bener Tegalrejo Kota Yogyakarta - Dijual: Rumah & Apartemen - 921762953
134,36.0,60.0,2.0,1.0,1.0,Sleman Kab.,350000000,rumah scandinavian tepi jalan raya cocok untuk villa - Dijual: Rumah & Apartemen - 921762356
136,70.0,72.0,2.0,2.0,1.0,Yogyakarta Kota,385000000,Rumah Murah Area Timoho Umbulharjo Kota Yogyakarta - Dijual: Rumah & Apartemen - 921761645
137,400.0,527.0,10.0,10.0,1.0,Sleman Kab.,2750000000,rumah kost murah 21 kamar tidur maguwoharjo 50m dari kampus - Dijual: Rumah & Apartemen - 921761206
138,115.0,100.0,4.0,3.0,1.0,Sleman Kab.,2299000000,HUNIAN ESKLUSIF DITENGAH KOTA YOGYAKARTA DENGAN FASILITAS LENGKAP - Dijual: Rumah & Apartemen - 919002485
139,165.0,120.0,4.0,3.0,2.0,Sleman Kab.,1680000000,Rumah Dekat UPN Dalam Ring Road Maguwo - Dijual: Rumah & Apartemen - 920831115
