x,y,crash,resto,roadlength,househol
121.5722369,25.04922746,808,2,7695.880004,357
121.5036836,25.04659738,2575,41,14520.28668,277
121.5777242,25.0489387,460,17,5996.905437,545
121.5778548,25.0489802,421,27,4275.304693,290
121.511351,25.04516381,2288,85,12592.25124,264
121.5851979,25.04797453,395,10,5140.531478,430
121.5863316,25.04866789,879,17,8657.031832,550
121.5661335,25.05128952,1453,43,9637.068793,660
121.5180254,25.04858757,1708,56,8182.343494,234
121.5637069,25.05137041,1731,74,6958.323672,763
121.5570042,25.04883195,823,45,5908.320639,513
121.5489194,25.04818714,1095,25,6201.9506,291
121.5438479,25.04833938,1468,96,11490.55971,590
121.5333893,25.04710496,1747,74,11684.67022,379
121.5298056,25.04837501,1237,66,12718.42855,500
121.5293931,25.04812454,994,66,6136.657399,378
121.5240272,25.0478622,1426,60,6362.3336,329
121.5766061,25.05139836,2408,59,12233.01033,414
121.5947141,25.05000507,957,31,18605.71031,311
121.5169533,25.05093069,637,28,5243.263785,271
121.5570717,25.05165254,397,48,2850.232889,375
121.5085398,25.0520057,3210,23,17051.80227,269
121.5138759,25.0515997,800,42,8299.925555,375
121.5571437,25.05222731,787,50,5529.266605,645
121.5661993,25.05142975,1100,15,10744.37504,718
121.5462147,25.05017033,2148,84,9857.745083,638
121.5383042,25.05307889,1428,68,8275.971974,405
121.5228216,25.05400793,1220,26,4885.716894,235
121.5810003,25.05092345,1340,17,11171.09459,318
121.6166355,25.05432411,800,33,5545.170696,293
121.6097835,25.05235003,676,45,14580.5459,224
121.6064287,25.0532714,922,7,7239.433527,290
121.5499257,25.05191446,735,36,5414.942096,541
121.5566213,25.05360994,497,9,6034.392509,833
121.5114602,25.0559914,999,35,8343.790894,427
121.513654,25.05401857,580,7,4132.356436,345
