x,y,crash,resto,atm,super,bar,busstp,cafe,conven,deptst,fastfd,gc,hotel,market,metro,temple
121.5571437,25.05222731,787,50,1,0,0,6,14,7,0,2,0,0,0,0,0
121.5661993,25.05142975,1100,15,1,0,0,6,2,7,0,1,0,0,0,1,0
121.5462147,25.05017033,2148,84,0,0,1,11,20,12,1,5,1,1,0,0,0
121.5383042,25.05307889,1428,68,2,1,2,10,21,11,0,2,0,0,0,1,0
121.5228216,25.05400793,1220,26,0,1,0,6,3,6,0,2,0,0,0,0,0
121.5810003,25.05092345,1340,17,1,0,0,9,1,4,0,0,0,0,0,0,0
121.6166355,25.05432411,800,33,1,0,0,6,3,3,0,2,0,0,0,1,0
121.6097835,25.05235003,676,45,1,0,0,14,6,4,0,9,0,0,0,2,3
121.6064287,25.0532714,922,7,1,2,0,10,10,4,0,1,0,0,0,0,0
121.5499257,25.05191446,735,36,0,0,1,3,4,4,0,1,0,0,0,1,0
121.5566213,25.05360994,497,9,0,0,0,4,1,1,0,0,0,0,0,0,0
121.5114602,25.0559914,999,35,1,2,3,9,19,7,0,2,1,0,0,0,1
121.513654,25.05401857,580,7,0,2,0,4,5,3,0,1,0,0,0,0,0
121.5603502,25.05530181,288,1,0,2,1,3,3,2,0,0,0,0,0,0,0
121.51526,25.056338,760,74,0,1,2,6,4,5,0,3,0,0,0,0,1
121.5671765,25.05597935,262,6,0,0,0,2,0,0,0,0,0,0,0,0,0
121.5178076,25.05329118,443,49,0,0,2,4,21,2,0,2,0,0,0,0,2
121.5461846,25.05609194,777,28,0,1,1,5,6,3,0,0,0,0,0,0,0
121.5440453,25.05767894,308,16,1,0,1,2,3,2,0,0,0,0,0,0,0
121.5405711,25.05748698,742,62,1,1,0,4,2,4,0,1,0,0,0,0,1
121.5778457,25.05329609,742,5,0,0,0,5,0,2,0,0,0,0,0,0,1
121.5206993,25.04824756,1851,124,0,1,2,4,21,10,0,3,1,0,1,2,1
121.5302617,25.05211633,975,73,2,0,3,9,15,8,0,3,0,0,0,0,0
121.5331939,25.05676512,1117,118,0,0,2,11,27,7,0,8,1,0,0,0,1
121.5278176,25.05256893,750,44,0,0,1,4,0,5,0,0,1,0,0,0,0
121.527277,25.05605182,1399,60,1,1,1,7,8,13,0,4,0,0,0,0,1
121.5970794,25.05423727,339,22,0,1,0,5,0,3,0,2,0,0,0,0,0
121.5530274,25.05722021,132,13,0,1,0,0,0,2,0,1,0,0,0,0,0
121.5562345,25.05628183,469,9,0,0,0,3,5,2,0,0,0,0,0,0,0
121.5638098,25.05884556,223,19,0,1,0,2,1,1,0,1,0,0,0,0,0
121.595437,25.0514615,1146,31,1,0,0,7,0,5,0,2,0,0,0,0,0
121.5932822,25.05874527,529,1,0,0,0,6,0,2,0,0,0,0,0,0,0
121.5255686,25.05895918,1155,30,1,1,1,3,1,9,0,2,0,0,0,0,1
121.5436399,25.06015633,840,38,0,0,0,3,2,9,0,0,0,0,0,0,0
121.5204882,25.05765086,1327,60,0,1,2,4,6,3,0,4,0,0,0,0,3
121.5302027,25.0579794,834,38,0,0,0,4,6,6,0,2,0,0,1,0,1
121.6071868,25.05330023,1406,78,0,0,0,11,2,4,0,2,0,0,0,1,0
121.5084798,25.05772565,817,13,0,1,0,3,12,6,1,4,0,0,2,0,0
121.5128114,25.05916667,664,9,0,0,0,4,3,2,0,2,0,0,0,0,0
121.5488347,25.05779565,1564,55,1,1,1,6,8,7,0,4,0,0,0,0,0
121.5372729,25.06183008,1346,40,1,0,1,5,9,4,0,3,0,0,0,1,2
121.5365035,25.05792858,1315,64,1,1,0,5,6,6,0,1,1,0,1,1,1
121.5545966,25.0618458,721,11,0,0,0,5,4,2,0,0,0,0,0,0,0
121.5302714,25.0611946,1232,50,1,2,0,5,2,7,0,0,0,0,0,0,0
121.5274839,25.06024535,1068,14,1,0,0,4,5,4,0,1,0,0,0,0,1
121.582228,25.05572457,2089,32,0,0,0,10,0,5,0,0,0,0,0,0,0
121.5159297,25.06162983,1623,12,0,0,0,9,1,5,0,1,0,0,0,0,2
121.5610243,25.06250187,459,37,1,1,0,3,1,4,0,1,0,0,0,0,0
121.56459,25.06297836,448,11,0,0,0,2,1,3,0,1,0,0,0,0,0
121.5087598,25.0632824,1465,10,0,0,1,4,6,3,0,5,0,0,0,0,0
121.5663466,25.06322192,501,21,0,0,0,3,0,3,0,0,0,0,0,0,0
121.5658987,25.05964431,1183,35,0,0,0,9,0,2,0,3,0,0,0,0,0
121.53231,25.0647096,1039,31,0,0,0,11,0,4,0,1,0,0,0,0,0
121.6139568,25.0552855,1796,62,3,0,0,23,8,9,0,5,0,0,0,2,1
121.523484,25.0628973,936,53,0,2,0,8,10,7,0,0,0,0,0,1,0
121.6015034,25.06095315,934,0,0,0,0,14,0,0,0,0,0,0,0,0,0
121.508977,25.06342563,1048,11,0,0,0,1,0,0,0,1,0,0,0,0,0
121.5111462,25.0640307,704,34,0,0,0,3,2,3,0,1,0,0,0,1,1
121.5147988,25.0630835,1168,30,0,0,0,8,2,6,0,3,0,0,0,0,0
121.522454,25.06492632,591,36,0,1,2,1,1,7,0,2,0,0,1,0,1
121.5443184,25.06226419,763,13,0,0,0,4,1,3,0,0,0,0,0,0,0
121.5949564,25.06106001,2334,15,0,0,0,15,1,2,0,0,0,0,0,0,0
121.5777028,25.04076533,559,24,0,0,0,4,5,6,0,3,0,0,0,0,2
121.5740984,25.04215997,174,4,0,0,0,1,1,1,0,0,0,0,0,0,2
121.5536841,25.04452522,466,29,0,0,0,1,1,3,0,1,0,0,1,0,0
121.5430338,25.06638164,1205,18,1,0,0,6,1,1,0,2,0,0,0,0,1
121.5396391,25.0651687,708,53,0,0,0,7,1,5,0,1,0,0,0,0,0
121.5356963,25.06250738,1123,37,0,1,0,9,1,4,0,4,0,0,0,0,1
121.5345793,25.06732755,838,10,0,0,0,6,0,2,0,0,0,0,0,0,0
121.5304146,25.0665906,474,23,0,0,0,3,1,4,0,1,0,0,0,0,0
121.5202217,25.06303937,2402,113,2,2,0,6,19,13,0,10,1,0,0,1,1
121.5183113,25.06776299,470,16,0,0,0,4,1,2,0,1,0,0,0,0,0
121.5148602,25.0680037,212,7,0,1,0,2,1,0,0,0,0,0,0,0,0
121.5090902,25.06782743,303,13,0,0,0,2,0,0,0,1,0,0,0,0,0
